St,Sw,Sw_St,Dr_5_Wmax_St,Dr_10_Wmax_St,Dr_15_Wmax_St,Dr_20_Wmax_St
1,1,1,3.12,3.44,3.62,3.73
1,2,2,5.17,5.64,5.99,6.24
1,3,3,7.17,7.65,8.03,8.33
1,4,4,9.17,9.65,10.03,10.33
1,5,5,11.17,11.65,12.03,12.33
1,6,6,13.17,13.65,14.03,14.33
1,7,7,15.17,15.65,16.03,16.33
1,8,8,17.17,17.65,18.03,18.33
1,9,9,19.17,19.65,20.03,20.33
1,10,10,21.17,21.65,22.03,22.33
1,11,11,23.17,23.65,24.03,24.33
1,12,12,25.17,25.65,26.03,26.33
1,13,13,27.17,27.65,28.03,28.33
1,14,14,29.17,29.65,30.03,30.33
1,15,15,31.17,31.65,32.03,32.33
1,16,16,33.17,33.65,34.03,34.33
1,17,17,35.17,35.65,36.03,36.33
1,18,18,37.17,37.65,38.03,38.33
1,19,19,39.17,39.65,40.03,40.33
1,20,20,41.17,41.65,42.03,42.33
1,21,21,43.17,43.65,44.03,44.33
1,22,22,45.17,45.65,46.03,46.33
1,23,23,47.17,47.65,48.03,48.33
1,24,24,49.17,49.65,50.03,50.33
1,25,25,51.17,51.65,52.03,52.33
